year,gisjoin,override_income_classification,override_reason
1980,G36000500410,valid_zero_universe,Manual review on 2026-04-14 found a highway corridor / nonresidential tract with effectively no resident household-income universe.
1980,G36006100001,valid_zero_universe,Manual review on 2026-04-14 found a nonresidential island / institutional tract with effectively no resident household-income universe.
1980,G3600610019701,valid_zero_universe,Manual review on 2026-04-14 found a park or institutional tract with effectively no resident household-income universe.
1980,G36008100244,valid_zero_universe,Manual review on 2026-04-14 found a nonresidential tract with effectively no resident household-income universe.
1980,G36008100299,valid_zero_universe,Manual review on 2026-04-14 found a nonresidential tract with effectively no resident household-income universe.
1980,G36008100426,valid_zero_universe,Manual review on 2026-04-14 found a cemetery / park / nonresidential tract with effectively no resident household-income universe.
1980,G36008100918,valid_zero_universe,Manual review on 2026-04-14 found a beach / park / nonresidential tract with effectively no resident household-income universe.
1990,G36000500001,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a special tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36000500102,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36000500163,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36000500276,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36000500284,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a special tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36000500410,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a highway-corridor tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36004700032,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a special Fort Hamilton tract with one household and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G3600470045597,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G3600470070203,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with one household and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36004700812,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a special tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36004701070,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a special tract with one household and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36004701180,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36006100001,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a special tract with one household and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36006100113,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a Times Square area tract with four households and 99.3 percent group-quarters population; zero median income is consistent with household-income suppression.
1990,G36006100311,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with very few households and a substantial group-quarters population; zero median income is consistent with household-income suppression.
1990,G36006100319,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a special tract with one household and 99.1 percent group-quarters population; zero median income is consistent with household-income suppression.
1990,G36008100037,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36008100191,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a special Queens tract with one household and 99.8 percent group-quarters population; zero median income is consistent with household-income suppression.
1990,G36008100331,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a special tract with one household and 96.1 percent group-quarters population; zero median income is consistent with household-income suppression.
1990,G36008100561,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36008100793,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G3600810107202,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with one household and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36008101211,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36008101319,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a special tract with one household and 96.6 percent group-quarters population; zero median income is consistent with household-income suppression.
1990,G36008500089,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a tract with very few households and zero median income due to household-income suppression; retain group-quarters fields as diagnostics.
1990,G36008500185,valid_income_suppressed,Manual review on 2026-04-14 accepted this as a special tract with very few households and 98.4 percent group-quarters population; zero median income is consistent with household-income suppression.
